station_id	station_name	lon	lat	altitude	station_type	x_coord	y_coord	record_status
31437		139.010	52.110			2336234.7500	6367557.5000	0
31439	博戈罗茨科耶	140.480	52.390			2421324.5000	6433545.0000	0
31441		126.510	51.810			1503532.8750	6086634.0000	0
31442	西马诺夫斯克	127.660	51.990			1577736.7500	6124872.5000	0
31443		128.830	51.640			1667283.2500	6105815.5000	0
31444		126.710	51.510			1524853.8750	6056524.5000	0
31445	斯沃博德内	128.130	51.460			1624090.0000	6074084.0000	0
31459	上汤姆	130.390	51.360			1782233.3750	6102833.5000	0
31469	切格多门	132.960	51.180			1963642.3750	6132894.0000	0
31474	乌斯季乌马尔塔	133.330	51.640			1973840.8750	6190412.0000	0
31475		134.110	51.410			2034291.8750	6181580.5000	0
31478	索菲斯基-普里伊斯克	133.990	52.280			1996986.6250	6273605.0000	0
31482	杜基	135.910	51.730			2144513.5000	6255016.0000	0
31484		135.090	51.430			2099903.7500	6204659.0000	0
31489	戈林	136.810	51.210			2223760.7500	6219364.5000	0
31492		138.110	51.910			2284504.5000	6324677.0000	0
31497		137.410	51.110			2267863.7500	6222564.0000	0
31502		140.210	51.710			2431248.5000	6354458.0000	0
31504		139.110	51.360			2372218.7500	6289965.5000	0
31509	德卡斯特里	140.790	51.490			2478496.7500	6345833.0000	0
31510	布拉戈维申斯克（海兰泡）	127.510	50.540			1605338.6250	5962484.0000	0
31511		127.310	50.710			1586945.0000	5977882.0000	0
31513	别洛戈尔斯克	128.480	50.930			1662602.0000	6021696.0000	0
31521	布拉托柳博夫卡	129.340	50.790			1726171.7500	6021384.5000	0
31527	扎维塔亚	129.480	50.130			1754517.6250	5951753.5000	0
31528		130.110	50.110			1799245.5000	5961130.5000	0
31532	切昆达	132.260	50.880			1925236.2500	6086248.0000	0
31534		131.030	50.440			1853721.0000	6014405.0000	0
31538	苏图尔	132.140	50.080			1941960.1250	5997078.0000	0
31541		133.310	50.790			2000242.5000	6097762.0000	0
31545		133.910	50.610			2047364.7500	6090836.5000	0
31548		133.510	50.010			2039499.5000	6017673.5000	0
31550		136.930	50.280			2265876.5000	6122654.0000	0
31552		136.010	50.810			2184034.7500	6158241.0000	0
31561		137.010	50.610			2259259.2500	6159759.0000	0
31562		138.210	50.910			2329271.5000	6220195.0000	0
31566		138.410	50.310			2365658.2500	6161231.5000	0
